Catégorie;Nom;Images reconnues;Images de la catégorie;% de précision du modèle
1;elephant;5;20;25 %
2;gazelle_grant;15;20;75 %
3;gazelle_thomson;12;20;60 %
4;giraffe;14;20;70 %
5;hyppopotame;2;20;10 %
6;leopard;10;18;55 %
7;lion;10;20;50 %
8;monkey;4;18;22 %
9;rhinoceros;1;20;5 %
10;Global;73;176;41 %
