Catégorie;Nom;Images reconnues;Images de la catégorie;% de précision du modèle
1;elephant;6;20;30 %
2;gazelle_grant;17;20;85 %
3;gazelle_thomson;13;20;65 %
4;giraffe;13;20;65 %
5;hyppopotame;3;20;15 %
6;leopard;11;18;61 %
7;lion;9;20;45 %
8;monkey;4;18;22 %
9;rhinoceros;3;20;15 %
10;Global;79;176;44 %
