Catégorie;Nom;Images reconnues;Images de la catégorie;% de précision du modèle
1;elephant;6;20;30 %
2;gazelle_grant;18;20;90 %
3;gazelle_thomson;12;20;60 %
4;giraffe;9;20;45 %
5;hyppopotame;2;20;10 %
6;leopard;11;18;61 %
7;lion;6;20;30 %
8;monkey;2;18;11 %
9;rhinoceros;3;20;15 %
10;Global;69;176;39 %
